iter	Passed	Remaining
0	0	71
1	2	133
2	3	105
3	3	89
4	4	80
5	4	73
6	5	70
7	5	67
8	6	65
9	7	64
10	7	62
11	8	61
12	8	59
13	9	58
14	10	57
15	10	56
16	11	54
17	11	54
18	12	53
19	12	51
20	13	51
21	14	50
22	14	49
23	15	48
24	15	47
25	16	46
26	17	46
27	17	45
28	18	45
29	18	44
30	19	43
31	20	42
32	20	42
33	21	41
34	21	40
35	22	39
36	23	39
37	23	38
38	24	37
39	24	37
40	25	36
41	26	36
42	26	35
43	27	34
44	27	34
45	28	33
46	28	32
47	29	31
48	30	31
49	30	30
50	31	29
51	32	30
52	33	29
53	34	29
54	34	28
55	35	27
56	35	26
57	36	26
58	36	25
59	37	25
60	38	24
61	39	23
62	40	23
63	40	23
64	41	22
65	42	21
66	42	21
67	43	20
68	44	19
69	44	19
70	45	18
71	46	18
72	47	17
73	48	16
74	48	16
75	49	15
76	50	15
77	51	14
78	51	13
79	52	13
80	53	12
81	54	11
82	54	11
83	55	10
84	55	9
85	56	9
86	56	8
87	57	7
88	58	7
89	58	6
90	59	5
91	59	5
92	60	4
93	60	3
94	61	3
95	61	2
96	62	1
97	62	1
98	63	0
99	64	0
