iter	Passed	Remaining
0	1	1544
1	2	1345
2	4	1440
3	5	1445
4	6	1376
5	10	1668
6	11	1691
7	13	1680
8	14	1632
9	16	1599
10	17	1596
11	18	1540
12	20	1532
13	21	1492
14	22	1472
15	24	1521
16	25	1502
17	27	1482
18	28	1465
19	29	1445
20	30	1438
21	32	1432
22	33	1408
23	33	1381
24	35	1366
25	35	1343
26	36	1329
27	37	1312
28	38	1303
29	39	1282
30	40	1274
31	41	1256
32	42	1237
33	42	1220
34	43	1199
35	44	1182
36	44	1167
37	45	1153
38	46	1138
39	46	1122
40	47	1110
41	48	1100
42	48	1086
43	49	1075
44	50	1062
45	50	1053
46	51	1049
47	52	1043
48	53	1037
49	54	1029
50	54	1021
51	55	1013
52	56	1005
53	56	996
54	57	987
55	58	979
56	58	974
57	59	970
58	60	964
59	61	955
60	61	948
61	62	941
62	62	934
63	63	926
64	63	919
65	64	913
66	65	907
67	66	912
68	67	906
69	67	900
70	68	895
71	69	893
72	70	889
73	70	883
74	71	877
75	71	872
76	72	866
77	72	860
78	73	853
79	73	849
80	74	844
81	74	839
82	75	832
83	75	828
84	76	823
85	77	820
86	77	816
87	78	813
88	79	809
89	79	806
90	80	803
91	81	802
92	82	802
93	83	801
94	83	798
95	84	794
96	85	791
97	85	787
98	86	783
99	86	779
100	87	776
101	87	772
102	88	768
103	88	765
104	89	761
105	89	757
106	90	754
107	90	750
108	91	747
109	91	743
110	92	740
111	92	737
112	94	740
113	94	737
114	95	735
115	97	740
116	97	736
117	98	733
118	98	730
119	99	727
120	99	723
121	100	719
122	100	716
123	101	714
124	101	711
125	102	708
126	102	704
127	103	703
128	103	701
129	104	700
130	105	698
131	105	696
132	106	693
133	107	692
134	107	691
135	108	690
136	109	688
137	110	687
138	110	686
139	111	684
140	112	682
141	112	679
142	113	677
143	113	675
144	114	673
145	114	671
146	115	669
147	115	667
148	116	667
149	119	675
150	119	673
151	120	672
152	121	670
153	121	669
154	122	667
155	123	665
156	123	665
157	124	665
158	125	664
159	126	662
160	126	661
161	128	662
162	128	662
163	129	661
164	130	659
165	131	659
166	132	658
167	132	656
168	133	654
169	133	653
170	134	650
171	134	648
172	135	646
173	135	644
174	136	642
175	136	640
176	137	638
177	137	636
178	138	634
179	138	632
180	139	630
181	140	630
182	141	631
183	142	630
184	142	629
185	143	627
186	144	626
187	144	625
188	145	624
189	146	624
190	147	623
191	147	622
192	148	621
193	149	619
194	149	617
195	150	615
196	150	613
197	151	612
198	151	610
199	152	608
200	152	606
201	153	604
202	153	603
203	154	601
204	154	599
205	157	606
206	158	605
207	158	604
208	159	602
209	159	601
210	160	600
211	161	598
212	161	597
213	162	595
214	162	593
215	163	591
216	163	590
217	164	588
218	164	586
219	165	585
220	165	584
221	166	583
222	167	581
223	167	580
224	168	578
225	168	577
226	169	575
227	169	575
228	170	574
229	171	575
230	172	574
231	173	573
232	174	573
233	174	571
234	175	570
235	175	569
236	176	567
237	176	566
238	177	564
239	177	563
240	178	561
241	178	560
242	179	558
243	179	557
244	180	556
245	181	554
246	181	553
247	181	551
248	182	550
249	182	548
250	183	547
251	183	545
252	184	544
253	184	542
254	185	542
255	186	541
256	187	540
257	187	539
258	188	538
259	188	537
260	189	536
261	190	536
262	190	534
263	191	533
264	191	532
265	192	530
266	192	529
267	193	528
268	194	527
269	194	526
270	195	525
271	195	523
272	196	522
273	196	521
274	197	520
275	197	518
276	198	517
277	198	516
278	199	515
279	199	513
280	200	513
281	201	512
282	202	512
283	203	511
284	203	510
285	204	510
286	205	509
287	206	510
288	206	508
289	207	507
290	207	506
291	208	505
292	208	504
293	209	503
294	210	501
295	210	500
296	211	499
297	211	498
298	212	497
299	212	495
300	213	494
301	213	494
302	214	492
303	214	491
304	215	490
305	215	489
306	216	489
307	217	488
308	218	487
309	218	486
310	220	487
311	221	487
312	221	486
313	222	485
314	222	484
315	223	483
316	223	482
317	224	481
318	224	480
319	225	479
320	226	478
321	226	477
322	227	476
323	227	474
324	228	473
325	228	472
326	229	471
327	229	470
328	230	469
329	231	469
330	231	468
331	232	468
332	233	468
333	234	467
334	234	466
335	235	465
336	236	464
337	236	463
338	237	462
339	237	461
340	238	460
341	239	459
342	239	458
343	240	457
344	240	456
345	241	455
346	241	454
347	242	453
348	242	452
349	243	451
350	243	450
351	244	449
352	245	449
353	245	448
354	246	447
355	246	446
356	247	446
357	248	445
358	249	444
359	249	443
360	250	443
361	250	442
362	251	441
363	252	440
364	252	439
365	253	438
366	253	437
367	254	436
368	254	435
369	255	434
370	255	433
371	256	432
372	256	431
373	257	430
374	257	429
375	258	428
376	258	427
377	259	427
378	260	426
379	260	425
380	261	424
381	264	427
382	265	427
383	267	428
384	269	430
385	270	430
386	272	431
387	274	432
388	275	432
389	276	432
390	278	433
391	279	433
392	282	435
393	283	435
394	284	435
395	285	434
396	286	434
397	287	434
398	288	434
399	289	433
400	289	433
401	290	432
402	291	431
403	291	430
404	292	429
405	293	429
406	294	428
407	295	428
408	295	427
409	296	426
410	297	426
411	298	425
412	298	424
413	299	423
414	299	422
415	300	421
416	301	421
417	301	420
418	302	419
419	302	418
420	303	417
421	303	416
422	304	415
423	304	414
424	305	413
425	305	412
426	306	411
427	307	410
428	307	409
429	308	408
430	309	408
431	309	407
432	310	406
433	313	408
434	314	408
435	314	407
436	315	406
437	315	405
438	316	404
439	316	403
440	317	402
441	318	401
442	318	400
443	319	400
444	320	399
445	320	398
446	321	397
447	321	396
448	322	395
449	323	395
450	324	395
451	325	394
452	326	393
453	326	393
454	327	392
455	328	391
456	328	390
457	329	389
458	330	388
459	330	388
460	331	387
461	331	386
462	332	385
463	333	384
464	333	383
465	334	382
466	334	382
467	335	381
468	335	380
469	336	379
470	336	378
471	337	377
472	338	376
473	338	375
474	339	375
475	340	374
476	341	373
477	341	373
478	342	372
479	344	373
480	344	372
481	345	371
482	346	370
483	346	369
484	347	368
485	347	367
486	348	367
487	348	366
488	349	365
489	350	364
490	350	363
491	351	362
492	351	361
493	352	361
494	353	360
495	353	359
496	354	358
497	355	357
498	355	357
499	356	356
500	356	355
501	357	354
502	358	353
503	359	353
504	359	352
505	360	351
506	361	351
507	361	350
508	362	349
509	362	348
510	363	348
511	364	347
512	366	348
513	367	347
514	368	346
515	368	345
516	369	345
517	370	344
518	371	343
519	371	343
520	374	343
521	374	343
522	375	342
523	375	341
524	376	340
525	377	340
526	377	339
527	378	338
528	379	337
529	379	336
530	380	335
531	381	335
532	381	334
533	382	333
534	383	333
535	384	332
536	385	332
537	385	331
538	389	333
539	389	332
540	390	331
541	390	330
542	391	329
543	392	328
544	392	327
545	393	327
546	393	326
547	394	325
548	394	324
549	395	323
550	396	322
551	396	322
552	397	321
553	398	320
554	398	319
555	399	318
556	400	318
557	401	317
558	401	316
559	403	316
560	403	315
561	404	315
562	404	314
563	405	313
564	405	312
565	406	311
566	406	310
567	407	309
568	408	309
569	408	308
570	409	307
571	409	306
572	410	305
573	410	304
574	411	303
575	412	303
576	413	302
577	413	302
578	414	301
579	415	300
580	416	300
581	416	299
582	417	298
583	418	297
584	418	296
585	419	296
586	419	295
587	420	294
588	420	293
589	421	292
590	421	291
591	422	290
592	422	290
593	423	289
594	423	288
595	424	287
596	424	286
597	425	285
598	425	284
599	426	284
600	428	284
601	429	283
602	429	283
603	432	283
604	432	282
605	433	281
606	433	280
607	434	280
608	434	279
609	435	278
610	435	277
611	436	276
